source,brand,temporal_stance,opportunity_area,detectability,n_area,n_cell,proportion,ci_low,ci_high,severity_mean,proximity_weight,oi,gate_reason,ratio,difference,p,n_ajio,n_pool,significant_at_alpha
play,myntra,pre_purchase,OA-11,strong,5,135,0.037037037037037035,0.015921913773667362,0.08377063439070756,2.2,0.5,0.018519,,1.7395,0.0274,0.241967,357.0,135.0,False
play,myntra,pre_purchase,OA-03,strong,3,135,0.022222222222222223,0.007585912664781844,0.06329679704085307,1.3333333333333333,0.7,0.015556,,0.5042,-0.011,0.357165,357.0,135.0,False
play,ajio,pre_purchase,OA-05,moderate,6,357,0.01680672268907563,0.007724854510027452,0.036176583180828115,1.3333333333333333,0.6,0.010084,,1.1345,0.002,0.876129,357.0,135.0,False
play,myntra,pre_purchase,OA-05,moderate,2,135,0.014814814814814815,0.004072203419334869,0.052405587056930054,1.0,0.6,0.008889,,1.1345,0.002,0.876129,357.0,135.0,False
play,ajio,pre_purchase,OA-03,strong,4,357,0.011204481792717087,0.00436559289657279,0.028450644071857913,1.25,0.7,0.007843,,0.5042,-0.011,0.357165,357.0,135.0,False
play,ajio,pre_purchase,OA-07,strong,4,357,0.011204481792717087,0.00436559289657279,0.028450644071857913,3.0,0.4,0.004482,,,,,,,
play,myntra,pre_purchase,OA-06,strong,1,135,0.007407407407407408,0.0013087882462745025,0.04076408300062041,1.0,0.5,0.003704,,0.7563,-0.0018,0.818479,357.0,135.0,False
play,ajio,pre_purchase,OA-06,strong,2,357,0.0056022408963585435,0.0015376833439371494,0.02019335290206869,3.0,0.5,0.002801,,0.7563,-0.0018,0.818479,357.0,135.0,False
play,ajio,pre_purchase,OA-09,weak,5,357,0.014005602240896359,0.00599679903813009,0.032362038291513046,1.8,0.9,,not adjudicable from public text,,,0.520226,357.0,135.0,
play,ajio,pre_purchase,OA-10,none,2,357,0.0056022408963585435,0.0015376833439371494,0.02019335290206869,1.5,1.0,,not adjudicable from public text,,,0.818479,357.0,135.0,
play,ajio,pre_purchase,none,,99,357,0.2773109243697479,0.23343071509885988,0.32593255618475186,1.8478260869565217,,,,0.5505,-0.2264,2e-06,357.0,135.0,True
play,myntra,pre_purchase,OA-09,weak,3,135,0.022222222222222223,0.007585912664781844,0.06329679704085307,1.0,0.9,,not adjudicable from public text,,,0.520226,357.0,135.0,
play,myntra,pre_purchase,OA-10,none,1,135,0.007407407407407408,0.0013087882462745025,0.04076408300062041,3.0,1.0,,not adjudicable from public text,,,0.818479,357.0,135.0,
play,myntra,pre_purchase,none,,68,135,0.5037037037037037,0.42043501688207346,0.5867674427326115,2.857142857142857,,,,0.5505,-0.2264,2e-06,357.0,135.0,True
play,urbanic,pre_purchase,none,,1,2,0.5,0.09453120573423068,0.9054687942657693,,,,,0.5505,-0.2264,2e-06,357.0,135.0,True
